question_id,shorthand,question_text
1,"Programmatisk åtkomst","Har ni programmatisk åtkomst till datan?"
2,"Licenser i ordning","Är era licenser i ordning?"
3,"Laglig rätt till åtkomst","Har ni laglig rätt till dataåtkomst?"
4,"Etikprövad data","Har ni genomfört en etikprövning av datan?"
5,"Konverterad till lämpligt format","Är datan konverterad till ett lämpligt format?"
6,"Känd karaktäristik","Är datans karaktäkistik känd?"
7,"Validerad data","Är datan validerad?"
8,"Parter överens om affärsbehov","Är parterna överens om målet för aktuellt användningsfall?"
9,"Syftet med data klart","Är syftet med att använda datan tydlig för alla parter?"
10,"Tillräckligt med data","Finns det tillräckligt med data för aktuellt användningsfall?"
11,"Utvärdering av lösning klar","Är stegen för att utvärdera en möjlig lösning tydliga?"
12,"Organisationen hanterar datainsamling","Är er organisation beredd på att hantera mer liknande data bortom projektets omfattning?"
13,"Datasäkerhet hanterad","Är datan säker?"
14,"Riskfri delning av data","Är det säkert att dela datan med andra?"
15,"Tillåten att dela data","Har ni tillåtelse att dela datan med andra?"
